config,n_top,window_i,n_trades,actual_roi,actual_mdd,actual_calmar,actual_ulcer,roi_rank_broken,mdd_rank,calmar_rank,ulcer_rank
commodity,10,11,22,27.29632484218987,157.13535750000005,1.737121757729788,58.17809780196913,4.5,16.3,16.3,30.400000000000002
commodity,10,12,24,-14.530421349999964,253.5508547500001,-0.573077198431332,145.2944052207865,54.2,7.2,92.80000000000001,8.8
commodity,10,13,19,-22.38738305000002,228.7971397500006,-0.9784817709898825,149.50440372378912,0.1,44.0,55.900000000000006,29.900000000000002
commodity,10,14,25,2.0286201750001225,122.59909649999929,0.165467791599927,58.17146289907065,63.0,60.300000000000004,60.300000000000004,64.10000000000001
commodity,10,15,19,20.9499459,40.8663654999998,5.126451947384482,18.05684579489879,49.7,98.4,98.5,99.5
commodity,15,1,28,4.943079925000069,140.38976025000068,0.35209689910415276,62.826911271394984,42.300000000000004,46.2,46.2,57.0
commodity,15,2,28,33.40531761234438,95.1889408765569,3.5093696079321997,40.00626852497358,3.2,41.900000000000006,41.900000000000006,37.9
commodity,15,3,36,58.9665930000001,56.15428849999989,10.50081740417746,23.087223195590358,10.700000000000001,93.60000000000001,93.60000000000001,93.10000000000001
commodity,15,4,21,-11.856181774999845,173.4544989999995,-0.6835326753329056,82.71001344972566,34.0,51.300000000000004,48.7,69.0
commodity,15,5,18,37.2287237750001,48.652990250000244,7.651888112879128,19.009601288951544,0.1,73.3,73.3,83.9
commodity,15,6,13,0.876031875000101,104.8064132500001,0.08358571272832868,50.7467064922671,12.4,23.5,23.6,32.4
commodity,15,7,34,-34.981188499999995,360.5772787499998,-0.9701440041166215,197.47088496165702,3.9000000000000004,29.3,70.7,56.400000000000006
commodity,15,8,39,14.620825425000096,242.40637524999943,0.6031535024572392,105.69085649225995,15.4,5.0,5.0,10.5
commodity,15,9,145,53.00880668732007,212.20704122084862,2.497975862740229,98.34670222400284,5.1000000000000005,81.2,81.2,62.400000000000006
commodity,15,10,591,-11.948523232041595,929.7300355290283,-0.12851605063229704,331.1897003063682,71.60000000000001,39.900000000000006,60.1,81.10000000000001
commodity,15,11,32,39.75631021719001,157.13535750000005,2.5300677613050904,54.92647730529956,16.5,24.700000000000003,24.700000000000003,37.6
commodity,15,12,38,-31.93463869999988,427.5930282499993,-0.7468465711589846,240.34395218674564,12.0,3.0,97.0,7.5
commodity,15,13,24,-20.28205137499997,238.6098999999998,-0.8500087957373095,163.52608652752068,1.2000000000000002,54.0,45.7,21.700000000000003
commodity,15,14,45,19.450264225000126,122.59909649999929,1.58649327607404,47.76966355139258,56.6,76.2,76.2,88.4
commodity,15,15,31,40.10250535,51.44307700000013,7.795510628184216,21.892920319990345,28.200000000000003,97.0,97.0,98.60000000000001
commodity,20,1,44,17.980181675000125,140.38976025000068,1.2807331277567329,54.25886000934325,39.7,63.900000000000006,63.900000000000006,78.9
commodity,20,2,36,22.174690712344393,132.77938237655644,1.6700402062014381,54.250349224257334,15.3,41.800000000000004,41.800000000000004,49.300000000000004
commodity,20,3,40,62.600543875000135,56.15428849999989,11.14795424306734,23.075563954673513,4.4,96.60000000000001,96.60000000000001,96.10000000000001
commodity,20,4,39,-35.12514999999979,406.14418124999895,-0.8648443489180206,212.77265412691048,89.9,23.200000000000003,76.80000000000001,53.2
commodity,20,5,27,33.468785275000116,112.30655750000005,2.9801274315616073,41.09771234873657,68.7,22.200000000000003,22.200000000000003,34.7
commodity,20,6,13,0.876031875000101,104.8064132500001,0.08358571272832868,50.7467064922671,13.5,21.6,21.6,32.2
commodity,20,7,52,-58.00045964999995,590.7699902499992,-0.9817773517144226,331.0761727060554,4.5,20.3,79.7,52.400000000000006
commodity,20,8,61,22.233601050000342,242.40637524999943,0.917203643141411,93.1168828490023,32.4,17.8,17.8,32.6
