Asset,Filter,Same-Window OOS Prof%,Pool Size,Lift (pp)
EUR/GBP,MC-MDD p75 + IS PF>1,32.86326558827596,36165,6.3119424440004614
EUR/GBP,MC-MDD p90 + IS PF>1,32.62803041170564,13942,6.076707267430141
EUR/GBP,MC-Calmar p50 + IS PF>1,34.12067080687554,85986,7.569347662600041
EUR/GBP,MC-Calmar p75 + IS PF>1,33.89115178878147,40754,7.339828644505975
EUR/GBP,MC-Calmar p90 + IS PF>1,33.47924042484712,15535,6.927917280571624
EUR/GBP,MC-Ulcer p50 + IS PF>1,34.179023113824684,91720,7.627699969549187
EUR/GBP,MC-Ulcer p75 + IS PF>1,34.24216542934104,45663,7.690842285065546
EUR/GBP,MC-ROI* p50,28.18156348889226,217731,1.6302403446167624
EUR/GBP,MC-ROI* p75,28.532848384532457,91831,1.9815252402569605
XAU/USD,No filter,54.9956737082623,817097,0.0
XAU/USD,IS PF>1,55.70460006474469,657969,0.7089263564823867
XAU/USD,Rob: ENT,55.94512700486006,603284,0.9494532965977598
XAU/USD,Rob: FEE,55.82527979226797,628502,0.8296060840056683
XAU/USD,Rob: SLI,55.70460006474469,657969,0.7089263564823867
XAU/USD,Rob: ENT+IND,56.124620008469115,580934,1.1289463002068132
XAU/USD,Rob: All 4,56.31655543851682,537334,1.32088173025452
XAU/USD,MC-MDD p50,55.00985598664224,431210,0.014182278379941238
XAU/USD,MC-MDD p75,54.88614247661414,222998,-0.10953123164816247
XAU/USD,MC-MDD p90,54.65969487659501,92946,-0.3359788316672905
XAU/USD,MC-Calmar p50,55.08966250932637,424871,0.09398880106406438
XAU/USD,MC-Calmar p75,54.97909217345004,217861,-0.016581534812260657
XAU/USD,MC-Calmar p90,54.984777193468034,90325,-0.010896514794268342
XAU/USD,MC-Ulcer p50,54.950273773605986,429552,-0.04539993465631653
XAU/USD,MC-Ulcer p75,54.917811910536244,222660,-0.07786179772605806
XAU/USD,MC-MDD p50 + IS PF>1,55.72928921920285,348490,0.7336155109405453
XAU/USD,MC-MDD p75 + IS PF>1,55.617989956418825,180812,0.6223162481565225
